test,escalon,p50,p95,p99,errores_pct,rps,n,cpu_max,ram_max,conexiones_pg_max
lecturas,50,1743.4,4578.0,6442.2,0.0,11.05,2320,0.338,580104190.0,15.0
lecturas,100,5196.4,16552.0,23920.0,0.13,11.29,2371,0.4,457216000.0,20.0
lecturas,200,18949.1,33639.4,42432.6,0.67,10.63,2232,0.369,487260160.0,20.0
lecturas,400,23477.6,60000.5,60001.0,18.28,11.98,2516,0.496,519458800.0,21.0
lecturas,800,649.7,60000.2,60000.9,78.34,44.36,9315,0.804,863625220.0,20.0
