test,escalon,p50,p95,p99,errores_pct,rps,n,cpu_max,ram_max,conexiones_pg_max
lecturas,50,118.2,194.7,278.1,0.0,18.99,3988,0.456,1010999300.0,16.0
lecturas,100,119.5,195.9,235.5,0.0,38.24,8030,0.886,1037578240.0,20.0
lecturas,200,121.6,205.0,246.0,0.0,75.74,15905,1.827,1091752000.0,25.0
lecturas,400,486.3,2200.8,3691.5,0.0,122.71,25770,4.0,1607266300.0,75.0
lecturas,800,2585.1,14779.3,18286.1,0.02,111.92,23504,4.0,1888620500.0,80.0
recibos,2,15117.3,15214.1,15289.2,0.0,0.12,30,4.0,1890164700.0,80.0
lectores_durante_recibos,2,137.7,235.8,382.6,0.0,39.83,9558,4.0,1890164700.0,80.0
recibos,5,15136.3,15215.2,15229.0,0.0,0.32,77,1.915,1845973000.0,40.0
lectores_durante_recibos,5,137.1,227.3,280.7,0.0,40.75,9781,1.915,1845973000.0,40.0
recibos,10,15117.4,15232.2,15327.5,0.0,0.65,155,1.922,1857077200.0,40.0
lectores_durante_recibos,10,140.0,238.6,316.4,0.0,40.6,9743,1.922,1857077200.0,40.0
recibos,20,15129.9,15227.5,15267.6,0.32,1.29,310,2.819,1870549000.0,41.0
lectores_durante_recibos,20,138.1,237.0,340.3,0.11,40.83,9799,2.819,1870549000.0,41.0
