test,escalon,p50,p95,p99,errores_pct,rps,n,cpu_max,ram_max,conexiones_pg_max
lecturas,50,116.6,202.4,247.7,0.0,19.04,3998,0.505,602484740.0,9.0
lecturas,100,116.5,203.0,246.4,0.0,38.16,8013,0.806,323686400.0,10.0
lecturas,200,119.3,213.2,263.5,0.0,76.12,15986,1.725,352616450.0,10.0
lecturas,400,629.8,2124.0,3107.2,0.15,120.13,25227,4.862,503439360.0,21.0
lecturas,800,2952.5,8825.7,9751.0,0.0,120.09,25218,4.446,554623000.0,20.0
recibos,2,15116.8,15194.0,15210.3,0.0,0.12,30,3.733,547520500.0,20.0
lectores_durante_recibos,2,136.6,243.5,334.9,0.0,40.26,9663,3.733,547520500.0,20.0
recibos,5,15125.0,15211.1,15292.2,0.0,0.32,77,1.994,565878800.0,12.0
lectores_durante_recibos,5,137.0,238.2,304.7,0.0,40.8,9793,1.994,565878800.0,12.0
recibos,10,15129.0,15214.0,15236.2,0.0,0.65,155,2.19,573521900.0,13.0
lectores_durante_recibos,10,139.7,245.1,383.7,0.0,40.62,9748,2.19,573521900.0,13.0
recibos,20,15129.0,15218.0,15264.6,0.0,1.29,310,2.167,581574660.0,13.0
lectores_durante_recibos,20,139.7,248.2,450.0,0.0,40.65,9756,2.167,581574660.0,13.0
