test,escalon,p50,p95,p99,errores_pct,rps,n,cpu_max,ram_max,conexiones_pg_max
lecturas,50,114.3,200.2,234.6,0.15,19.06,4003,0.392,1370341380.0,18.0
lecturas,100,112.1,193.0,224.1,0.05,38.29,8040,0.779,1101115400.0,21.0
lecturas,200,112.3,195.4,226.6,0.23,75.7,15897,1.655,1137516560.0,27.0
lecturas,400,117.0,210.5,253.7,0.05,151.62,31840,3.275,1218990080.0,37.0
lecturas,800,164.7,628.8,1124.0,0.0,291.73,61264,7.07,1546965000.0,50.0
recibos,2,15136.4,15196.8,15245.5,0.0,0.12,30,7.865,1601605660.0,48.0
lectores_durante_recibos,2,130.6,212.0,260.1,0.0,40.55,9732,7.865,1601605660.0,48.0
recibos,5,15111.9,15196.0,15227.1,0.0,0.32,77,1.883,1577070560.0,40.0
lectores_durante_recibos,5,127.9,209.9,249.4,0.0,40.81,9795,1.883,1577070560.0,40.0
recibos,10,15112.0,15198.4,15214.0,0.0,0.65,155,1.73,1591390200.0,40.0
lectores_durante_recibos,10,128.1,207.4,248.3,0.0,40.97,9832,1.73,1591390200.0,40.0
recibos,20,15122.4,15205.2,15217.3,0.0,1.29,310,1.938,1600946160.0,40.0
lectores_durante_recibos,20,128.0,207.6,245.1,0.0,41.03,9848,1.938,1600946160.0,40.0
